iter	RMSE
0	228.6860036
1	218.2597463
2	210.7144802
3	204.5805718
4	202.3697666
5	199.2712658
6	196.6756211
7	194.1715961
8	192.0166292
9	190.4124368
10	188.6876599
11	187.4391982
12	186.4674277
13	185.4014356
14	184.3828385
15	183.0975602
16	181.6509686
17	180.693918
18	179.7322257
19	178.9368532
20	177.9712293
21	176.8671669
22	176.2497501
23	174.8872425
24	174.1076468
25	173.4146281
26	172.5220682
27	171.6325278
28	170.5474417
29	169.5349579
30	168.7058021
31	168.1028297
32	167.3570142
33	166.2793342
34	165.2265869
35	164.057227
36	163.1387748
37	162.228766
38	161.3228249
39	160.4192995
40	159.4730475
41	158.8824559
42	158.0295575
43	156.3977318
44	155.4255171
45	154.3140837
46	153.5254294
47	152.6388132
48	151.6579923
49	150.7423583
50	150.0312687
51	149.1112136
52	148.0241539
53	147.0867692
54	146.548417
55	145.5867331
56	144.9037712
57	143.9453231
58	143.2840929
59	142.6020002
60	141.5641512
61	140.5488603
62	139.6806089
63	138.6112448
64	137.5251825
65	136.6999388
66	135.6027269
67	134.9549672
68	133.8724225
69	133.2755821
70	132.7572777
71	131.9274361
72	130.7330272
73	130.0121594
74	128.8335351
75	128.2804753
76	127.8623905
77	127.1872505
78	126.4513636
79	125.5704477
80	124.4367798
81	123.6571782
82	123.226206
83	122.7140208
84	121.5699082
85	120.6802042
86	120.275536
87	119.8500247
88	119.1389633
89	118.2902094
90	117.6889283
91	117.1201505
92	116.6633163
93	116.0956454
94	115.2251557
95	114.6716198
96	113.6187292
97	112.9680376
98	112.2112049
99	111.9108902
