iter	Passed	Remaining
0	164	16271
1	172	8452
2	181	5881
3	193	4639
4	203	3868
5	212	3335
6	221	2938
7	234	2692
8	250	2529
9	263	2374
10	269	2178
11	278	2042
12	283	1897
13	291	1788
14	297	1687
15	304	1600
16	312	1526
17	319	1454
18	328	1401
19	335	1340
20	344	1294
21	352	1250
22	363	1216
23	380	1204
24	395	1185
25	407	1159
26	418	1132
27	427	1099
28	438	1074
29	449	1047
30	459	1021
31	472	1003
32	481	977
33	490	952
34	504	936
35	513	912
36	523	890
37	533	870
38	546	854
39	555	832
40	570	820
41	578	798
42	586	777
43	594	756
44	602	736
45	611	717
46	619	698
47	626	678
48	635	661
49	642	642
50	649	623
51	654	603
52	660	585
53	665	566
54	669	547
55	675	530
56	680	513
57	683	495
58	690	479
59	695	463
60	698	446
61	704	431
62	710	417
63	714	401
64	722	388
65	726	374
66	730	359
67	736	346
68	741	333
69	745	319
70	751	307
71	756	294
72	760	281
73	766	269
74	771	257
75	775	244
76	782	233
77	788	222
78	792	210
79	803	200
80	808	189
81	814	178
82	819	167
83	824	157
84	832	146
85	836	136
86	843	126
87	849	115
88	853	105
89	864	96
90	869	85
91	880	76
92	889	66
93	899	57
94	907	47
95	915	38
96	923	28
97	930	18
98	938	9
99	946	0
