state,district,year,crop,groundwater_ph,ec_groundwater_(µs/cm),hardness_groundwater_(mg/l),nitrate_groundwater_(mg/l),rainfall_mm,soil_ph,soil_organic_carbon,soil_nitrogen,soil_phosphorus,soil_potassium,crop_yield
Maharashtra,Ahmednagar,2022,Wheat,7.66,1469.21,486.62,59.5,792,7.7,0.78,215.0,23.0,210,1600
Maharashtra,Ahmednagar,2022,Rice,7.7,1480.0,490.0,59.5,780,7.8,0.82,225.0,25.0,200,3400
Maharashtra,Ahmednagar,2022, Bajra,7.62,1472.0,484.0,59.5,775,7.6,0.77,213.0,22.0,216,1200
Maharashtra,Ahmednagar,2022,Cotton,7.64,1470.0,483.0,59.5,790,7.8,0.71,222.0,21.0,214,600
Maharashtra,Ahmednagar,2022,Sugarcane,7.65,1495.0,488.0,59.5,781,7.5,0.81,209.0,26.0,216,110
Maharashtra,Akola,2022,Wheat,7.72,1751.1950000000002,521.5575,59.5,765,7.52,0.47,205.0,22.93,274,1500
Maharashtra,Akola,2022,Rice,7.62,1751.1950000000002,521.5575,59.5,740,7.33,0.5,211.0,22.68,275,3200
Maharashtra,Akola,2022, Bajra,7.74,1751.1950000000002,521.5575,59.5,744,7.56,0.48,202.0,22.55,284,1100
Maharashtra,Akola,2022,Cotton,7.87,1751.1950000000002,521.5575,59.5,722,7.41,0.47,204.0,22.46,280,600
Maharashtra,Akola,2022,Sugarcane,7.6,1751.1950000000002,521.5575,59.5,735,7.46,0.49,211.0,21.93,268,100
Maharashtra,Amravati,2022,Wheat,7.72,1751.1950000000002,521.5575,59.5,765,7.52,0.47,205.0,22.93,274,1550
Maharashtra,Amravati,2022,Rice,7.62,1751.1950000000002,521.5575,59.5,740,7.33,0.5,211.0,22.68,275,3300
Maharashtra,Amravati,2022, Bajra,7.74,1751.1950000000002,521.5575,59.5,744,7.56,0.48,202.0,22.55,284,1150
Maharashtra,Amravati,2022,Cotton,7.87,1751.1950000000002,521.5575,59.5,722,7.41,0.47,204.0,22.46,280,620
Maharashtra,Amravati,2022,Sugarcane,7.6,1751.1950000000002,521.5575,59.5,735,7.46,0.49,211.0,21.93,268,105
Maharashtra,Aurangabad,2022,Wheat,7.78,1409.37,428.89,57.94,752,7.48,0.7,202.0,16.64,234,1400
Maharashtra,Aurangabad,2022,Rice,7.68,1460.72,428.87,57.41,728,7.29,0.74,208.0,16.46,235,3100
Maharashtra,Aurangabad,2022, Bajra,7.8,1437.73,434.99,58.97,732,7.52,0.71,199.0,16.36,242,1000
Maharashtra,Aurangabad,2022,Cotton,7.93,1402.7,416.33,57.54,710,7.37,0.69,202.0,16.3,239,580
Maharashtra,Aurangabad,2022,Sugarcane,7.66,1431.37,417.97,56.94,723,7.42,0.72,208.0,15.92,229,95
Maharashtra,Dhule,2022,Wheat,8.03,1565.49,464.92,50.24,694,7.37,0.56,253.0,20.4,268,1350
Maharashtra,Dhule,2022,Rice,7.93,1622.54,464.9,49.78,671,7.18,0.59,260.0,20.17,269,3000
Maharashtra,Dhule,2022, Bajra,8.05,1597.0,471.54,51.13,675,7.41,0.57,249.0,20.05,277,950
Maharashtra,Dhule,2022,Cotton,8.19,1558.09,451.31,49.89,655,7.26,0.56,252.0,19.98,273,550
Maharashtra,Dhule,2022,Sugarcane,7.91,1589.93,453.08,49.37,667,7.31,0.58,260.0,19.51,262,90
Maharashtra,Jalgaon,2022,Wheat,7.71,1244.54,405.77,59.5,879,7.22,0.43,219.0,13.53,282,1450
Maharashtra,Jalgaon,2022,Rice,7.6,1201.27,408.18,59.5,900,7.11,0.43,225.0,13.76,293,3150
Maharashtra,Jalgaon,2022, Bajra,7.56,1214.22,400.63,59.5,872,7.06,0.44,222.0,13.31,293,1050
Maharashtra,Jalgaon,2022,Cotton,7.75,1229.87,399.9,59.5,900,7.11,0.43,219.0,13.41,291,575
Maharashtra,Jalgaon,2022,Sugarcane,7.82,1245.62,416.36,59.5,827,6.82,0.42,223.0,13.39,290,95
Maharashtra,Nandurbar,2022,Wheat,7.8,900.76,364.24,31.82,824,7.56,0.66,271.25,15.53,245,1300
Maharashtra,Nandurbar,2022,Rice,7.7,933.58,364.23,31.53,797,7.37,0.69,271.25,15.35,247,3000
Maharashtra,Nandurbar,2022, Bajra,7.82,918.89,369.43,32.38,802,7.6,0.67,271.25,15.26,254,1000
