state,district,year,crop,groundwater_ph,ec_groundwater_(µs/cm),hardness_groundwater_(mg/l),nitrate_groundwater_(mg/l),rainfall_mm,soil_ph,soil_organic_carbon,soil_nitrogen,soil_phosphorus,soil_potassium,crop_yield
Maharashtra,Mumbai,2021,Rice,0.35954600904590717,0.09073917687804679,0.5056641005728687,0.2597543328279125,0.05604593526843,0.5148016251960758,0.7555663596333587,0.4862142623591425,0.2974401349373112,0.03952185106940064,0.37474477016780733
Gujarat,Mumbai,2024,Rice,0.7345759738094236,0.1091154477846252,0.37589885809916923,0.3325428467022514,0.44541704862978104,0.02837458912090902,0.2481705629153651,0.02498442834898971,0.6111514377661709,0.38613589689468664,0.5822160867211288
Tamil Nadu,Mumbai,2023,Sugarcane,0.10897740125640523,0.5213392446975937,0.54630775857261,0.3855371074107247,0.10693575327597765,0.26325731891407506,0.5334959709782207,0.0024790485710370577,0.8428631526569768,0.3955183265699326,0.5225499428902061
Gujarat,Mumbai,2023,Maize,0.4776126282278377,0.5371999904071908,0.6526377394872561,0.6420958428262376,0.11516883078540095,0.6469680816589376,0.394139574774609,0.4063908734943154,0.6139686670072286,0.4957639673739502,0.45802715378620706
Gujarat,Ahmedabad,2023,Maize,0.37633136721904265,0.27212008455921355,0.5772887800761055,0.27447522778577454,0.23997546925356497,0.3556939060422042,0.5060248995346684,0.3698786404220405,0.5788945234565332,0.31027638244558664,0.21435750858431504
Karnataka,Ahmedabad,2016,Rice,0.7645414429744348,0.49815577597366245,0.4036013520449383,0.6884357950757489,0.5074884857526638,0.579285914163418,0.2795805415080768,0.0,0.48809824114943284,0.37791355945812427,0.4867813887114997
Tamil Nadu,Bangalore,2017,Cotton,0.5828443013235935,0.4440723988418355,0.5409290126075365,0.5768810066050132,0.24785741444550904,0.5355014667719085,0.6430682602063058,0.6218836501357312,0.23252966282223173,0.6876273872661995,0.6009632944622976
Tamil Nadu,Anantapur,2021,Wheat,0.336288404321305,0.36047302752106536,0.5329714124334121,0.6330635396498921,0.11213951467907123,0.6917997080149622,0.33789126638776196,0.16101560756883646,0.21191318953717903,0.36177479405087576,0.5428091069261824
Tamil Nadu,Mumbai,2019,Cotton,0.6361221756935586,0.5729828355234309,0.5567356414135186,0.32037038594936956,0.5359789673359032,0.2685201335892024,0.688442143528338,0.23815616828734154,0.20963127496602488,0.21698271321480703,0.24885861643729773
Gujarat,Bangalore,2016,Cotton,0.3773273222273802,0.22737644983518315,0.6412084305086637,0.4707075585574276,0.7898534277769257,0.5570271755629114,0.3424468614890202,0.13547774639005938,0.5351663792837631,0.07726302398555433,0.6967484439560034
Maharashtra,Anantapur,2017,Rice,0.6665270231749483,0.6011607342951412,0.6740867679651801,0.5047176155993777,0.5763792752171698,0.48159833917722317,0.6568740987397028,0.0,0.3205766165256658,0.5743699659046075,0.7635993265343017
Tamil Nadu,Chennai,2024,Rice,0.4089422935655044,0.3030737889193082,0.48990846689981876,0.4981185327734189,0.8671163478150783,0.36272277347264237,0.35841681946589465,0.4250770009795137,0.40250172910938625,0.0,0.47052085044746955
Gujarat,Ahmedabad,2020,Rice,0.6780555372434922,0.7018964737692404,0.7160526388332282,0.5042246049561859,0.7689612650673135,0.36157037324072916,0.39416789113577555,0.3000488794957499,0.504240097875651,0.1653953450779747,0.874191604853362
Karnataka,Anantapur,2021,Sugarcane,0.5491837406515102,0.25909555620134167,0.7390334352477069,0.41836169425363445,0.29480961353918284,0.5296657431714495,0.4954224934305349,0.0,0.21808607085032516,0.4796448332341191,0.3504401014347608
Maharashtra,Chennai,2023,Cotton,1.0,0.3629672207458792,0.6151593200681196,0.4801471502578319,0.5747066215076942,0.5956695080794925,0.3556140044937165,0.48368373388519786,0.2950173182663653,0.0,0.2766377596583643
Karnataka,Anantapur,2015,Maize,0.4473133322049989,0.4281373420813031,0.6677493979058198,0.61495614886857,0.3937589682778774,0.502770445957218,0.3507477642619113,0.23420291338160254,0.48247336400664476,0.22141130302982234,0.31954299163352945
Maharashtra,Ahmedabad,2021,Wheat,0.5380963107544682,0.4271413270301528,0.7165275098229128,0.28480886939219086,0.6821916119661815,0.5078772530773062,0.35752840520993945,0.24024570827190983,0.3429877570206054,0.4072918765739331,0.5296622902347055
Gujarat,Ahmedabad,2022,Sugarcane,0.3584531788091808,0.4968160916234072,0.39866844835345466,0.6920107777705928,0.39371377735077395,0.4105250718618802,0.5484160445132679,0.7171988875680259,0.364215674646001,0.2791655864498532,0.19221229746423094
