iter	Passed	Remaining
0	151	75827
1	166	41381
2	191	31722
3	219	27226
4	248	24587
5	276	22747
6	306	21613
7	331	20384
8	352	19250
9	377	18518
10	406	18082
11	440	17918
12	464	17414
13	491	17046
14	516	16687
15	550	16646
16	586	16669
17	629	16847
18	653	16532
19	677	16261
20	702	16029
21	724	15732
22	748	15522
23	774	15357
24	798	15178
25	821	14983
26	846	14824
27	869	14653
28	889	14446
29	911	14282
30	933	14122
31	954	13959
32	974	13797
33	996	13661
34	1018	13527
35	1039	13402
36	1061	13287
37	1076	13082
38	1098	12985
39	1120	12887
40	1144	12810
41	1154	12587
42	1168	12417
43	1188	12321
44	1211	12250
45	1232	12168
46	1257	12117
47	1280	12055
48	1302	11988
49	1324	11923
50	1346	11854
51	1370	11810
52	1396	11775
53	1419	11721
54	1441	11667
55	1465	11620
56	1491	11591
57	1514	11540
58	1536	11482
59	1559	11438
60	1581	11378
61	1603	11324
62	1626	11284
63	1648	11230
64	1672	11189
65	1694	11144
66	1717	11102
67	1743	11078
68	1769	11051
69	1797	11039
70	1823	11017
71	1846	10975
72	1876	10974
73	1898	10930
74	1921	10886
75	1943	10840
76	1963	10788
77	1986	10749
78	2008	10703
79	2030	10658
80	2051	10613
81	2085	10630
82	2107	10588
83	2132	10559
84	2156	10529
85	2182	10504
86	2208	10486
87	2236	10470
88	2274	10501
89	2296	10459
90	2318	10422
91	2342	10386
92	2362	10340
93	2383	10296
94	2404	10252
95	2426	10209
96	2449	10175
97	2469	10130
98	2489	10085
99	2510	10040
100	2531	10001
101	2553	9962
102	2573	9919
103	2593	9876
104	2614	9837
105	2635	9797
106	2658	9762
107	2679	9724
108	2701	9689
109	2721	9647
110	2742	9609
111	2767	9587
112	2790	9556
113	2810	9517
114	2831	9479
115	2852	9441
116	2873	9407
117	2895	9373
118	2916	9336
119	2935	9297
120	2956	9259
121	2976	9222
122	2997	9188
123	3018	9152
124	3038	9115
125	3061	9088
126	3083	9056
127	3103	9019
128	3119	8972
129	3140	8938
130	3147	8867
131	3167	8830
132	3189	8799
133	3209	8767
134	3230	8734
135	3252	8704
136	3271	8669
137	3292	8637
138	3314	8608
139	3334	8575
140	3354	8541
141	3375	8509
142	3395	8477
143	3416	8447
144	3437	8415
145	3457	8382
146	3480	8356
147	3500	8325
148	3521	8295
149	3542	8264
150	3562	8233
151	3583	8203
152	3602	8170
153	3629	8154
154	3649	8123
155	3670	8092
156	3690	8061
157	3715	8042
158	3736	8013
159	3758	7986
160	3784	7967
161	3806	7942
162	3828	7915
163	3851	7891
164	3875	7868
165	3895	7837
166	3915	7807
167	3936	7778
168	3958	7753
169	3978	7723
170	3998	7693
171	4019	7665
172	4040	7637
173	4061	7609
174	4081	7579
175	4101	7551
176	4122	7522
177	4143	7495
178	4164	7467
179	4184	7438
180	4204	7410
181	4227	7385
182	4247	7356
183	4268	7330
184	4289	7303
185	4310	7276
186	4330	7247
187	4346	7213
188	4368	7187
189	4388	7160
190	4409	7133
191	4429	7105
192	4449	7077
193	4471	7052
194	4492	7026
195	4512	6998
196	4532	6971
197	4552	6944
198	4574	6919
199	4595	6892
200	4616	6867
201	4637	6841
202	4657	6814
203	4679	6789
204	4701	6764
205	4721	6737
206	4741	6711
207	4761	6684
208	4782	6659
209	4796	6624
210	4816	6597
211	4838	6573
212	4861	6550
213	4882	6525
214	4904	6501
215	4924	6475
216	4945	6450
